;bid;Name;area;free_walls;floors;use;type;year;lat;lon;dist2hp
169;180;B180;11.045181028851893;4;3.0;3;2;1.0;-336430.7729261836;9419.219598563202;0
170;181;B181;33.95282224505483;3;3.0;3;2;1.0;-336443.56106196804;9389.383813950273;0
171;182;B182;8.547100702001101;3;3.0;3;2;1.0;-336314.9861977339;9263.668410343495;0
172;183;B183;115.50563115608338;4;3.0;3;2;1.0;-336459.0484482796;9229.193393551146;0
173;184;B184;8.594929702344226;3;3.0;3;2;1.0;-336330.0137350537;9266.006932055381;0
174;185;B185;115.97203337134098;3;3.0;3;2;1.0;-336485.3364585837;9231.167862797927;0
175;186;B186;12.708970344563124;4;3.0;3;2;1.0;-336412.29959996796;9222.076410003825;0
176;187;B187;85.87188707334529;4;3.0;3;2;1.0;-336401.01099151437;9242.88723204812;0
177;188;B188;39.16904625777299;3;3.0;3;2;1.0;-336388.4889965425;9341.376961100697;0
178;189;B189;39.017632632743556;4;3.0;3;2;1.0;-336419.1406887934;9298.364440490972;0
179;190;B190;110.59482139960488;4;3.0;3;2;1.0;-336459.4655438823;9302.548944633802;0
180;191;B191;13.24578627321237;2;3.0;3;2;1.0;-336461.72391307045;9346.753951099072;0
181;192;B192;41.735248787793694;2;3.0;3;2;1.0;-336327.23873473593;9281.163417032405;0
182;193;B193;8.490310306814381;3;3.0;3;2;1.0;-336332.11766080186;9293.41697968751;0
183;194;B194;27.241718387186097;4;3.0;3;2;1.0;-336380.57647645316;9193.073569926084;0
184;195;B195;118.77410739759625;4;3.0;3;2;1.0;-336473.95797170495;9259.34874460449;0
185;196;B196;19.400091731364434;4;3.0;3;2;1.0;-336458.05582389113;9404.949659281681;0
186;197;B197;113.37253303893237;4;3.0;3;2;1.0;-336480.71313222405;9381.371249884281;0
187;198;B198;47.89034787041604;3;3.0;3;2;1.0;-336451.25389190734;9294.239561269565;0
188;199;B199;134.23531907277004;4;3.0;3;2;1.0;-336431.53808465693;9332.341126469388;0
189;200;B200;12.901193000132071;4;3.0;3;2;1.0;-336450.28429278586;9159.617654955086;0
190;201;B201;94.63552695186108;4;3.0;3;2;1.0;-336386.53047574573;9331.903742849396;0
191;202;B202;12.555323870469659;4;3.0;3;2;1.0;-336431.3709231749;9262.66107828942;0
